step_idx,timestamp_s,episode_id,episode_name,event_class,observed_pa,expected_pa,residual_pa,drift_pa,slew_pa,token,r_norm,delta_norm,sigma_norm
1381,20400,4,severe_slug_a,3,6062504,6020833,41671.25,-55282.2750,1025.0875,Nominal,0.083342,-0.276411,0.000513
1382,20460,4,severe_slug_a,3,6072464,6035476,36987.50,-41959.1250,-78.0625,Nominal,0.073975,-0.209796,-0.000039
1383,20520,4,severe_slug_a,3,6136435,6038492,97942.75,-22434.9500,1015.9208,Nominal,0.195885,-0.112175,0.000508
1384,20580,4,severe_slug_a,3,6149030,6038492,110538.25,-1194.8750,209.9250,Nominal,0.221077,-0.005974,0.000105
1385,20640,4,severe_slug_a,3,6146970,6038492,108477.75,20780.8000,-34.3417,Nominal,0.216955,0.103904,-0.000017
1386,20700,4,severe_slug_a,3,6110804,6038492,72312.25,35189.4250,-602.7583,Nominal,0.144624,0.175947,-0.000301
1387,20760,4,severe_slug_a,3,6101542,6038492,63049.75,49033.5000,-154.3750,Nominal,0.126100,0.245168,-0.000077
1388,20820,4,severe_slug_a,3,6048737,6041775,6962.25,51813.4750,-934.7917,Nominal,0.013924,0.259067,-0.000467
1389,20880,4,severe_slug_a,3,6056332,6041775,14556.75,53266.4500,126.5750,Nominal,0.029114,0.266332,0.000063
1390,20940,4,severe_slug_a,3,6104518,6041775,62743.25,61524.1750,803.1083,Nominal,0.125487,0.307621,0.000402
1391,21000,4,severe_slug_a,3,6018880,6026846,-7966.50,56560.4000,-1178.4958,Nominal,-0.015933,0.282802,-0.000589
1392,21060,4,severe_slug_a,3,5980207,6012866,-32659.25,49595.7250,-411.5458,Nominal,-0.065319,0.247979,-0.000206
1393,21120,4,severe_slug_a,3,5952307,6006826,-54519.00,34349.5500,-364.3292,Nominal,-0.109038,0.171748,-0.000182
1394,21180,4,severe_slug_a,3,5965459,6005200,-39741.00,19321.6250,246.3000,Nominal,-0.079482,0.096608,0.000123
1395,21240,4,severe_slug_a,3,5979765,5995296,-15531.50,6920.7000,403.4917,Nominal,-0.031063,0.034604,0.000202
1396,21300,4,severe_slug_a,3,5947386,5986368,-38981.50,-4208.6750,-390.8333,Nominal,-0.077963,-0.021043,-0.000195
1397,21360,4,severe_slug_a,3,5987690,5986368,1321.50,-10381.5000,671.7167,Nominal,0.002643,-0.051908,0.000336
1398,21420,4,severe_slug_a,3,6032924,5986368,46556.50,-6422.0750,753.9167,Nominal,0.093113,-0.032110,0.000377
1399,21480,4,severe_slug_a,3,6019212,5987341,31871.25,-4690.6250,-244.7542,Nominal,0.063742,-0.023453,-0.000122
1400,21540,4,severe_slug_a,3,6026016,5997271,28745.25,-8090.4250,-52.1000,Nominal,0.057490,-0.040452,-0.000026
1401,21600,4,severe_slug_a,3,6024716,6012866,11849.75,-6108.8000,-281.5917,Nominal,0.023699,-0.030544,-0.000141
1402,0,5,severe_slug_b,0,2254954,2254954,0.00,-2842.8750,-11849.7500,Nominal,0.000000,-0.014214,-0.005925
1403,60,5,severe_slug_b,0,2276014,2265484,10530.25,3662.0500,175.5042,Nominal,0.021060,0.018310,0.000088
1404,120,5,severe_slug_b,0,2247302,2254954,-7651.50,6871.0000,-303.0292,Nominal,-0.015303,0.034355,-0.000152
1405,180,5,severe_slug_b,0,2284764,2265484,19280.25,10352.1750,448.8625,Nominal,0.038560,0.051761,0.000224
1406,240,5,severe_slug_b,0,2287492,2276014,11477.50,15398.0750,-130.0458,Nominal,0.022955,0.076990,-0.000065
1407,300,5,severe_slug_b,0,2239158,2265484,-26325.75,12633.3500,-630.0542,Nominal,-0.052651,0.063167,-0.000315
1408,360,5,severe_slug_b,0,2241468,2254954,-13485.00,6629.2000,214.0125,Nominal,-0.026970,0.033146,0.000107
1409,420,5,severe_slug_b,0,2316431,2265484,50947.25,8536.8000,1073.8708,Nominal,0.101894,0.042684,0.000537
1410,480,5,severe_slug_b,0,2290863,2276014,14849.00,7147.1750,-601.6375,Nominal,0.029698,0.035736,-0.000301
1411,540,5,severe_slug_b,0,2315862,2280389,35473.50,9509.5500,343.7417,Nominal,0.070947,0.047548,0.000172
1412,600,5,severe_slug_b,0,2292530,2284764,7765.50,10286.1000,-461.8000,Nominal,0.015531,0.051431,-0.000231
1413,660,5,severe_slug_b,0,2235749,2280389,-44640.00,4769.0750,-873.4250,Nominal,-0.089280,0.023845,-0.000437
1414,720,5,severe_slug_b,0,2254499,2276014,-21515.00,3382.7250,385.4167,Nominal,-0.043030,0.016914,0.000193
1415,780,5,severe_slug_b,0,2342605,2280389,62216.00,7676.3000,1395.5167,Nominal,0.124432,0.038381,0.000698
1416,840,5,severe_slug_b,0,2363741,2284764,78977.00,14426.2500,279.3500,Nominal,0.157954,0.072131,0.000140
1417,900,5,severe_slug_b,0,2362718,2286128,76590.75,24717.9000,-39.7708,Nominal,0.153181,0.123590,-0.000020
1418,960,5,severe_slug_b,0,2302454,2287492,14962.00,27562.6000,-1027.1458,Nominal,0.029924,0.137813,-0.000514
1419,1020,5,severe_slug_b,0,2297226,2289177,8048.75,23272.7500,-115.2208,Nominal,0.016098,0.116364,-0.000058
1420,1080,5,severe_slug_b,0,2322378,2290863,31515.00,24939.3500,391.1042,Nominal,0.063030,0.124697,0.000196
1421,1140,5,severe_slug_b,0,2369613,2291696,77916.75,29183.6750,773.3625,Nominal,0.155834,0.145918,0.000387
1422,1200,5,severe_slug_b,0,2327794,2292530,35265.00,31933.6250,-710.8625,Nominal,0.070530,0.159668,-0.000355
1423,1260,5,severe_slug_b,0,2315030,2294878,20151.75,38412.8000,-251.8875,Nominal,0.040303,0.192064,-0.000126
1424,1320,5,severe_slug_b,0,2270674,2292530,-21856.00,38378.7000,-700.1292,Nominal,-0.043712,0.191893,-0.000350
1425,1380,5,severe_slug_b,0,2252908,2291696,-38787.75,28278.3250,-282.1958,Nominal,-0.077576,0.141392,-0.000141
1426,1440,5,severe_slug_b,0,2305712,2292530,13182.00,21698.8250,866.1625,Nominal,0.026364,0.108494,0.000433
1427,1500,5,severe_slug_b,0,2328968,2294878,34090.75,17448.8250,348.4792,Nominal,0.068182,0.087244,0.000174
1428,1560,5,severe_slug_b,0,2277075,2292530,-15454.50,14407.1750,-825.7542,Nominal,-0.030909,0.072036,-0.000413
1429,1620,5,severe_slug_b,0,2277756,2291696,-13939.75,12208.3250,25.2458,Nominal,-0.027880,0.061042,0.000013
1430,1680,5,severe_slug_b,0,2304234,2292530,11704.50,10227.2750,427.4042,Nominal,0.023409,0.051136,0.000214
1431,1740,5,severe_slug_b,0,2263628,2291696,-28068.25,-371.2250,-662.8792,Nominal,-0.056136,-0.001856,-0.000331
1432,1800,5,severe_slug_b,0,2244006,2291696,-47689.75,-8666.7000,-327.0250,Nominal,-0.095380,-0.043334,-0.000164
1433,1860,5,severe_slug_b,0,2279537,2291696,-12159.25,-11897.8000,592.1750,Nominal,-0.024318,-0.059489,0.000296
1434,1920,5,severe_slug_b,0,2241961,2291696,-49735.25,-14685.7250,-626.2667,Nominal,-0.099471,-0.073429,-0.000313
1435,1980,5,severe_slug_b,0,2198060,2291696,-93636.25,-20170.5750,-731.6833,Nominal,-0.187273,-0.100853,-0.000366
1436,2040,5,severe_slug_b,0,2191355,2291696,-100341.25,-31522.9000,-111.7500,Nominal,-0.200683,-0.157615,-0.000056
1437,2100,5,severe_slug_b,0,2191393,2291696,-100303.25,-44962.3000,0.6333,Nominal,-0.200606,-0.224812,0.000000
1438,2160,5,severe_slug_b,0,2219916,2291696,-71780.25,-50594.8750,475.3833,Nominal,-0.143561,-0.252974,0.000238
1439,2220,5,severe_slug_b,0,2203742,2285200,-81458.50,-57346.7500,-161.3042,Nominal,-0.162917,-0.286734,-0.000081
1440,2280,5,severe_slug_b,0,2183514,2278647,-95132.25,-68030.4250,-227.8958,Nominal,-0.190265,-0.340152,-0.000114
1441,2340,5,severe_slug_b,0,2214726,2277416,-62689.25,-71492.5250,540.7167,Nominal,-0.125379,-0.357463,0.000270
1442,2400,5,severe_slug_b,0,2177188,2273874,-96685.75,-76392.1250,-566.6083,Nominal,-0.193372,-0.381961,-0.000283
1443,2460,5,severe_slug_b,0,2173324,2273874,-100549.75,-85231.1750,-64.4000,Nominal,-0.201099,-0.426156,-0.000032
1444,2520,5,severe_slug_b,0,2212567,2273874,-61307.25,-86388.3750,654.0417,Nominal,-0.122615,-0.431942,0.000327
1445,2580,5,severe_slug_b,0,2212567,2267151,-54583.75,-82483.1250,112.0583,Nominal,-0.109168,-0.412416,0.000056
1446,2640,5,severe_slug_b,0,2212567,2258268,-45701.25,-77019.1250,148.0417,Nominal,-0.091402,-0.385096,0.000074
1447,2700,5,severe_slug_b,0,2212567,2248458,-35890.50,-70577.8500,163.5125,Nominal,-0.071781,-0.352889,0.000082
1448,2760,5,severe_slug_b,0,2212567,2242984,-30416.75,-66441.5000,91.2292,Nominal,-0.060833,-0.332207,0.000046
1449,2820,5,severe_slug_b,0,2212567,2230938,-18371.50,-60132.8000,200.7542,Nominal,-0.036743,-0.300664,0.000100
1450,2880,5,severe_slug_b,0,2212567,2217321,-4754.25,-51095.0000,226.9542,Nominal,-0.009508,-0.255475,0.000113
1451,2940,5,severe_slug_b,0,2212567,2213647,-1079.75,-44934.0500,61.2417,Nominal,-0.002159,-0.224670,0.000031
1452,3000,5,severe_slug_b,0,2170282,2212567,-42285.00,-39493.9750,-686.7542,Nominal,-0.084570,-0.197470,-0.000343
1453,3060,5,severe_slug_b,0,2197870,2212567,-14696.50,-30908.6500,459.8083,Nominal,-0.029393,-0.154543,0.000230
1454,3120,5,severe_slug_b,0,2215646,2212567,3078.50,-24470.0750,296.2500,Nominal,0.006157,-0.122350,0.000148
1455,3180,5,severe_slug_b,0,2160143,2212567,-52424.00,-24254.1000,-925.0417,Nominal,-0.104848,-0.121270,-0.000463
1456,3240,5,severe_slug_b,0,2160636,2212567,-51931.50,-24877.1250,8.2083,Nominal,-0.103863,-0.124386,0.000004
1457,3300,5,severe_slug_b,0,2233439,2212567,20872.00,-19200.8750,1213.3917,Nominal,0.041744,-0.096004,0.000607
1458,3360,5,severe_slug_b,0,2226116,2212567,13549.50,-14804.2500,-122.0417,Nominal,0.027099,-0.074021,-0.000061
1459,3420,5,severe_slug_b,0,2174206,2212567,-38361.50,-16803.2500,-865.1833,Nominal,-0.076723,-0.084016,-0.000433
1460,3480,5,severe_slug_b,0,2174753,2212567,-37814.00,-20109.2250,9.1250,Nominal,-0.075628,-0.100546,0.000005
1461,3540,5,severe_slug_b,0,2181049,2212567,-31518.00,-23153.0500,104.9333,Nominal,-0.063036,-0.115765,0.000052
1462,3600,5,severe_slug_b,3,2237318,2212567,24751.00,-16449.4500,937.8167,Nominal,0.049502,-0.082247,0.000469
1463,3660,5,severe_slug_b,3,2288325,2212567,75758.00,-7404.0000,850.1167,Nominal,0.151516,-0.037020,0.000425
1464,3720,5,severe_slug_b,3,2258250,2212567,45682.50,-3143.6000,-501.2583,Nominal,0.091365,-0.015718,-0.000251
1465,3780,5,severe_slug_b,3,2213704,2212567,1137.00,2212.5000,-742.4250,Nominal,0.002274,0.011062,-0.000371
1466,3840,5,severe_slug_b,3,2221742,2212567,9174.50,8323.1000,133.9583,Nominal,0.018349,0.041615,0.000067
1467,3900,5,severe_slug_b,3,2244124,2212567,31556.50,9391.5500,373.0333,Nominal,0.063113,0.046958,0.000187
1468,3960,5,severe_slug_b,3,2288098,2212567,75530.50,15589.6500,732.9000,Nominal,0.151061,0.077948,0.000366
1469,4020,5,severe_slug_b,3,2286734,2212567,74167.00,26842.5000,-22.7250,Nominal,0.148334,0.134213,-0.000011
1470,4080,5,severe_slug_b,3,2228362,2212567,15795.50,32203.4500,-972.8583,Nominal,0.031591,0.161017,-0.000486
1471,4140,5,severe_slug_b,3,2208287,2212567,-4280.00,34927.2500,-334.5917,Nominal,-0.008560,0.174636,-0.000167
1472,4200,5,severe_slug_b,3,2313022,2212567,100454.50,42497.6000,1745.5750,Nominal,0.200909,0.212488,0.000873
1473,4260,5,severe_slug_b,3,2253287,2212567,40720.00,38993.8000,-995.5750,Nominal,0.081440,0.194969,-0.000498
1474,4320,5,severe_slug_b,3,2244840,2213136,31704.50,37596.0000,-150.2583,Nominal,0.063409,0.187980,-0.000075
1475,4380,5,severe_slug_b,3,2238174,2214675,23498.75,39832.1750,-136.7625,Nominal,0.046997,0.199161,-0.000068
1476,4440,5,severe_slug_b,3,2224499,2218694,5805.50,39495.2750,-294.8875,Nominal,0.011611,0.197476,-0.000147
1477,4500,5,severe_slug_b,3,2193704,2218694,-24989.50,33840.6750,-513.2500,Nominal,-0.049979,0.169203,-0.000257
1478,4560,5,severe_slug_b,3,2229386,2223120,6265.25,26914.1500,520.9125,Nominal,0.012530,0.134571,0.000260
1479,4620,5,severe_slug_b,3,2250636,2225308,25327.75,22030.2250,317.7083,Nominal,0.050655,0.110151,0.000159
1480,4680,5,severe_slug_b,3,2224613,2225365,-751.75,20375.5000,-434.6583,Nominal,-0.001504,0.101877,-0.000217
1481,4740,5,severe_slug_b,3,2183249,2225365,-42115.75,16591.9250,-689.4000,Nominal,-0.084232,0.082960,-0.000345
1482,4800,5,severe_slug_b,3,2143174,2225365,-82191.25,-1672.6500,-667.9250,Nominal,-0.164382,-0.008363,-0.000334
1483,4860,5,severe_slug_b,3,2153287,2225365,-72077.75,-12952.4250,168.5583,Nominal,-0.144155,-0.064762,0.000084
1484,4920,5,severe_slug_b,3,2140333,2225365,-85031.75,-24626.0500,-215.9000,Nominal,-0.170064,-0.123130,-0.000108
1485,4980,5,severe_slug_b,3,2125106,2225365,-100259.25,-37001.8500,-253.7917,Nominal,-0.200518,-0.185009,-0.000127
1486,5040,5,severe_slug_b,3,2106507,2225365,-118857.75,-49468.1750,-309.9750,Nominal,-0.237715,-0.247341,-0.000155
1487,5100,5,severe_slug_b,3,2079613,2224556,-144943.00,-61463.5250,-434.7542,Nominal,-0.289886,-0.307318,-0.000217
1488,5160,5,severe_slug_b,3,1976848,2223120,-246272.25,-86717.2750,-1688.8208,Nominal,-0.492544,-0.433586,-0.000844
1489,5220,5,severe_slug_b,3,1901582,2223120,-321537.75,-121403.8250,-1254.4250,Nominal,-0.643076,-0.607019,-0.000627
1490,5280,5,severe_slug_b,3,1912795,2223120,-310325.25,-152361.1750,186.8750,Nominal,-0.620650,-0.761806,0.000093
1491,5340,5,severe_slug_b,3,1927340,2223120,-295779.75,-177727.5750,242.4250,Nominal,-0.591560,-0.888638,0.000121
1492,5400,5,severe_slug_b,3,1877719,2217723,-340003.75,-203508.8250,-737.0667,DriftAccum,-0.680007,-1.017544,-0.000369
1493,5460,5,severe_slug_b,3,1817833,2210996,-393162.50,-235617.3000,-885.9792,DriftAccum,-0.786325,-1.178087,-0.000443
1494,5520,5,severe_slug_b,3,1765902,2200996,-435094.00,-270623.5250,-698.8583,DriftAccum,-0.870188,-1.353118,-0.000349
1495,5580,5,severe_slug_b,3,1786242,2188476,-402234.50,-300821.0500,547.6583,DriftAccum,-0.804469,-1.504105,0.000274
1496,5640,5,severe_slug_b,3,1906658,2168268,-261609.50,-315096.2250,2343.7500,DriftAccum,-0.523219,-1.575481,0.001172
1497,5700,5,severe_slug_b,3,1946138,2148230,-202092.75,-320811.2000,991.9458,DriftAccum,-0.404185,-1.604056,0.000496
1498,5760,5,severe_slug_b,3,1922908,2141753,-218844.75,-318068.4500,-279.2000,DriftAccum,-0.437690,-1.590342,-0.000140
1499,5820,5,severe_slug_b,3,1898136,2132719,-234583.25,-309373.0000,-262.3083,DriftAccum,-0.469166,-1.546865,-0.000131
1500,5880,5,severe_slug_b,3,1938174,2115806,-177632.75,-296103.7500,949.1750,DriftAccum,-0.355266,-1.480519,0.000475
1501,5940,5,severe_slug_b,3,2024499,2093060,-68561.00,-273381.8750,1817.8625,DriftAccum,-0.137122,-1.366909,0.000909
1502,6000,5,severe_slug_b,3,1980484,2052056,-71572.00,-246538.7000,-50.1833,DriftAccum,-0.143144,-1.232694,-0.000025
1503,6060,5,severe_slug_b,3,1945749,2002492,-56742.50,-212896.7000,247.1583,DriftAccum,-0.113485,-1.064484,0.000124
1504,6120,5,severe_slug_b,3,1993628,1987056,6572.00,-168730.1000,1055.2417,Recovery,0.013144,-0.843651,0.000528
1505,6180,5,severe_slug_b,3,1916090,1978666,-62576.00,-134764.2500,-1152.4667,Nominal,-0.125152,-0.673821,-0.000576
1506,6240,5,severe_slug_b,3,1851432,1961493,-110061.25,-119609.4250,-791.4208,Nominal,-0.220122,-0.598047,-0.000396
1507,6300,5,severe_slug_b,3,1800888,1945943,-145054.75,-113905.6250,-583.2250,Nominal,-0.290110,-0.569528,-0.000292
1508,6360,5,severe_slug_b,3,1877151,1941961,-64810.25,-98502.1750,1337.4083,Nominal,-0.129620,-0.492511,0.000669
1509,6420,5,severe_slug_b,3,2122188,1941961,180227.25,-57021.1250,4083.9583,Nominal,0.360455,-0.285106,0.002042
1510,6480,5,severe_slug_b,3,2178400,1941961,236439.25,-15613.9250,936.8667,Nominal,0.472878,-0.078070,0.000468
1511,6540,5,severe_slug_b,3,2149082,1941961,207121.25,11954.3000,-488.6333,Nominal,0.414243,0.059771,-0.000244
1512,6600,5,severe_slug_b,3,2185674,1941961,243712.25,43482.7250,609.8500,Nominal,0.487424,0.217414,0.000305
1513,6660,5,severe_slug_b,3,2257567,1941961,315605.75,80717.5500,1198.2250,Nominal,0.631212,0.403588,0.000599
1514,6720,5,severe_slug_b,3,2262908,1941961,320946.75,112155.0250,89.0167,Nominal,0.641894,0.560775,0.000045
1515,6780,5,severe_slug_b,3,2227492,1941961,285530.25,146965.6500,-590.2750,Nominal,0.571060,0.734828,-0.000295
1516,6840,5,severe_slug_b,3,2303324,1941961,361363.25,194108.1000,1263.8833,BoundaryGrazing,0.722727,0.970541,0.000632
1517,6900,5,severe_slug_b,3,2301810,1941961,359848.25,244598.4000,-25.2500,DriftAccum,0.719696,1.222992,-0.000013
1518,6960,5,severe_slug_b,3,2205029,1941961,263067.75,277386.2000,-1613.0083,DriftAccum,0.526135,1.386931,-0.000807
1519,7020,5,severe_slug_b,3,2170522,1945943,224578.75,281821.3500,-641.4833,DriftAccum,0.449157,1.409107,-0.000321
1520,7080,5,severe_slug_b,3,2286469,1963311,323158.25,290493.2500,1642.9917,DriftAccum,0.646316,1.452466,0.000821
1521,7140,5,severe_slug_b,3,2298098,1987056,311041.50,300885.2750,-201.9458,DriftAccum,0.622083,1.504426,-0.000101
1522,7200,5,severe_slug_b,3,2256961,2009064,247897.50,301303.8000,-1052.4000,DriftAccum,0.495795,1.506519,-0.000526
1523,7260,5,severe_slug_b,3,2241810,2073344,168465.75,286589.8000,-1323.8625,DriftAccum,0.336931,1.432949,-0.000662
1524,7320,5,severe_slug_b,3,2265030,2135636,129394.00,267434.5250,-651.1958,DriftAccum,0.258788,1.337173,-0.000326
1525,7380,5,severe_slug_b,3,2241734,2159802,81931.75,247074.6750,-791.0375,DriftAccum,0.163863,1.235373,-0.000396
1526,7440,5,severe_slug_b,3,2151506,2161014,-9507.75,209987.5750,-1523.9917,DriftAccum,-0.019016,1.049938,-0.000762
1527,7500,5,severe_slug_b,3,2188742,2174461,14280.25,175430.7750,396.4667,Recovery,0.028560,0.877154,0.000198
1528,7560,5,severe_slug_b,3,2223060,2182037,41023.00,153226.3000,445.7125,Nominal,0.082046,0.766131,0.000223
1529,7620,5,severe_slug_b,3,2128969,2182037,-53068.00,125461.6250,-1568.1833,Nominal,-0.106136,0.627308,-0.000784
1530,7680,5,severe_slug_b,3,2027340,2182037,-154696.50,77676.1500,-1693.8083,Nominal,-0.309393,0.388381,-0.000847
1531,7740,5,severe_slug_b,3,2023211,2182037,-158826.00,30689.4000,-68.8250,Nominal,-0.317652,0.153447,-0.000034
1532,7800,5,severe_slug_b,3,2051242,2182037,-130795.50,-7179.9000,467.1750,Nominal,-0.261591,-0.035900,0.000234
1533,7860,5,severe_slug_b,3,2073174,2182037,-108863.50,-34912.8250,365.5333,Nominal,-0.217727,-0.174564,0.000183
1534,7920,5,severe_slug_b,3,2002757,2182037,-179280.00,-65780.2250,-1173.6083,Nominal,-0.358560,-0.328901,-0.000587
1535,7980,5,severe_slug_b,3,1980030,2182037,-202007.00,-94174.1000,-378.7833,Nominal,-0.404014,-0.470871,-0.000189
1536,8040,5,severe_slug_b,3,2011545,2182037,-170492.00,-110272.5250,525.2500,Nominal,-0.340984,-0.551363,0.000263
1537,8100,5,severe_slug_b,3,1989234,2182037,-192802.50,-130980.8000,-371.8417,Nominal,-0.385605,-0.654904,-0.000186
1538,8160,5,severe_slug_b,3,1887076,2182037,-294961.50,-164579.2500,-1702.6500,Nominal,-0.589923,-0.822896,-0.000851
1539,8220,5,severe_slug_b,3,1885068,2182037,-296969.50,-188969.4000,-33.4667,BoundaryGrazing,-0.593939,-0.944847,-0.000017
1540,8280,5,severe_slug_b,3,2024044,2178098,-154053.25,-188905.0750,2381.9375,BoundaryGrazing,-0.308107,-0.944525,0.001191
1541,8340,5,severe_slug_b,3,2022188,2178098,-155909.25,-188613.4000,-30.9333,BoundaryGrazing,-0.311818,-0.943067,-0.000015
1542,8400,5,severe_slug_b,3,1973894,2161014,-187120.75,-194245.9250,-520.1917,BoundaryGrazing,-0.374242,-0.971230,-0.000260
1543,8460,5,severe_slug_b,3,1925484,2140238,-214753.25,-204834.9000,-460.5417,DriftAccum,-0.429507,-1.024174,-0.000230
1544,8520,5,severe_slug_b,3,1908780,2101071,-192291.25,-206136.0250,374.3667,DriftAccum,-0.384582,-1.030680,0.000187
1545,8580,5,severe_slug_b,3,1894992,2062208,-167215.50,-202656.8750,417.9292,DriftAccum,-0.334431,-1.013284,0.000209
1546,8640,5,severe_slug_b,3,1919727,2039291,-119564.00,-197564.0750,794.1917,BoundaryGrazing,-0.239128,-0.987820,0.000397
1547,8700,5,severe_slug_b,3,1844272,2025692,-181420.50,-196425.8750,-1030.9417,BoundaryGrazing,-0.362841,-0.982129,-0.000515
1548,8760,5,severe_slug_b,3,1869727,2023628,-153900.75,-182319.8000,458.6625,BoundaryGrazing,-0.307802,-0.911599,0.000229
1549,8820,5,severe_slug_b,3,1984992,2022700,-37708.25,-156393.6750,1936.5417,Recovery,-0.075416,-0.781968,0.000968
1550,8880,5,severe_slug_b,3,2059878,2022700,37178.75,-137270.4750,1248.1167,Nominal,0.074358,-0.686352,0.000624
1551,8940,5,severe_slug_b,3,1931014,2016867,-85852.25,-130264.7750,-2050.5167,Nominal,-0.171705,-0.651324,-0.001025
1552,9000,5,severe_slug_b,3,1895826,2007151,-111325.50,-122685.2500,-424.5542,Nominal,-0.222651,-0.613426,-0.000212
1553,9060,5,severe_slug_b,3,2052757,2007151,45606.00,-96649.3250,2615.5250,Nominal,0.091212,-0.483247,0.001308
1554,9120,5,severe_slug_b,3,2132946,2007151,125795.50,-64840.6500,1336.4917,Nominal,0.251591,-0.324203,0.000668
1555,9180,5,severe_slug_b,3,2093818,2007151,86666.50,-39452.4500,-652.1500,Nominal,0.173333,-0.197262,-0.000326
1556,9240,5,severe_slug_b,3,2034537,2007151,27386.00,-24757.4500,-988.0083,Nominal,0.054772,-0.123787,-0.000494
1557,9300,5,severe_slug_b,3,2076204,2007151,69053.00,289.9000,694.4500,Nominal,0.138106,0.001449,0.000347
1558,9360,5,severe_slug_b,3,2158212,2007151,151060.50,30786.0250,1366.7917,Nominal,0.302121,0.153930,0.000683
1559,9420,5,severe_slug_b,3,2124272,2007151,117121.00,46268.9500,-565.6583,Nominal,0.234242,0.231345,-0.000283
1560,9480,5,severe_slug_b,3,2087568,2007151,80416.50,50592.7250,-611.7417,Nominal,0.160833,0.252964,-0.000306
1561,9540,5,severe_slug_b,3,2274992,2007151,267840.50,85962.0000,3123.7333,Nominal,0.535681,0.429810,0.001562
1562,9600,5,severe_slug_b,3,2268324,2007151,261173.50,123211.9000,-111.1167,Nominal,0.522347,0.616059,-0.000056
1563,9660,5,severe_slug_b,3,2170370,2007151,163219.00,134973.2000,-1632.5750,Nominal,0.326438,0.674866,-0.000816
1564,9720,5,severe_slug_b,3,2184120,2016867,167253.75,139119.0250,67.2458,Nominal,0.334508,0.695595,0.000034
1565,9780,5,severe_slug_b,3,2321810,2023116,298693.00,160321.6750,2190.6542,Nominal,0.597386,0.801608,0.001095
1566,9840,5,severe_slug_b,3,2331620,2029291,302329.75,187816.0500,60.6125,BoundaryGrazing,0.604660,0.939080,0.000030
1567,9900,5,severe_slug_b,3,2265408,2043647,221761.00,203086.8500,-1342.8125,DriftAccum,0.443522,1.015434,-0.000671
1568,9960,5,severe_slug_b,3,2332150,2056318,275832.75,215564.0750,901.1958,DriftAccum,0.551666,1.077820,0.000451
1569,10020,5,severe_slug_b,3,2418324,2068041,350283.25,238880.3000,1240.8417,DriftAccum,0.700566,1.194401,0.000620
1570,10080,5,severe_slug_b,3,2304196,2081886,222310.25,253069.6750,-2132.8833,DriftAccum,0.444620,1.265348,-0.001066
1571,10140,5,severe_slug_b,3,2296242,2090692,205549.00,246840.5250,-279.3542,DriftAccum,0.411098,1.234203,-0.000140
1572,10200,5,severe_slug_b,3,2431886,2109045,322840.75,253007.2500,1954.8625,DriftAccum,0.645682,1.265036,0.000977
1573,10260,5,severe_slug_b,3,2361280,2128609,232670.25,259952.3750,-1502.8417,DriftAccum,0.465340,1.299762,-0.000751
1574,10320,5,severe_slug_b,3,2283022,2145579,137442.50,256971.2500,-1587.1292,DriftAccum,0.274885,1.284856,-0.000794
1575,10380,5,severe_slug_b,3,2312075,2164291,147784.25,241880.3750,172.3625,DriftAccum,0.295569,1.209402,0.000086
1576,10440,5,severe_slug_b,3,2446885,2177245,269639.75,238611.3750,2030.9250,DriftAccum,0.539280,1.193057,0.001015
1577,10500,5,severe_slug_b,3,2406810,2224764,182045.25,234639.8000,-1459.9083,DriftAccum,0.364090,1.173199,-0.000730
1578,10560,5,severe_slug_b,3,2326393,2266866,59526.75,213009.2000,-2041.9750,DriftAccum,0.119054,1.065046,-0.001021
1579,10620,5,severe_slug_b,3,2388400,2271658,116742.50,189655.1250,953.5958,BoundaryGrazing,0.233485,0.948276,0.000477
1580,10680,5,severe_slug_b,3,2366924,2279006,87917.00,176215.8000,-480.4250,Recovery,0.175834,0.881079,-0.000240
1581,10740,5,severe_slug_b,3,2244688,2279006,-34318.50,152229.0500,-2037.2583,Nominal,-0.068637,0.761145,-0.001019
1582,10800,5,severe_slug_b,3,2221431,2279006,-57575.50,114187.4250,-387.6167,Nominal,-0.115151,0.570937,-0.000194
1583,10860,5,severe_slug_b,3,2321810,2289632,32178.00,94138.2000,1495.8917,Nominal,0.064356,0.470691,0.000748
1584,10920,5,severe_slug_b,3,2262416,2289632,-27215.50,77672.4000,-989.8917,Nominal,-0.054431,0.388362,-0.000495
1585,10980,5,severe_slug_b,3,2134234,2289632,-155397.50,47354.2250,-2136.3667,Nominal,-0.310795,0.236771,-0.001068
1586,11040,5,severe_slug_b,3,2152984,2289632,-136647.50,6725.5000,312.5000,Nominal,-0.273295,0.033627,0.000156
1587,11100,5,severe_slug_b,3,2269650,2289632,-19981.00,-13477.1250,1944.4417,Nominal,-0.039962,-0.067386,0.000972
1588,11160,5,severe_slug_b,3,2180294,2289632,-109337.00,-30363.5000,-1489.2667,Nominal,-0.218674,-0.151817,-0.000745
1589,11220,5,severe_slug_b,3,2046318,2289632,-243314.00,-66369.1500,-2232.9500,Nominal,-0.486628,-0.331846,-0.001116
1590,11280,5,severe_slug_b,3,2019386,2289632,-270245.50,-102185.4000,-448.8583,Nominal,-0.540491,-0.510927,-0.000224
1591,11340,5,severe_slug_b,3,2115938,2289632,-173693.00,-116122.8500,1609.2083,Nominal,-0.347386,-0.580614,0.000805
